postalCode,place,latitude,longitude,specialOffice
4245,Kropa,46.2910887,14.2047026,
8262,Krška vas,45.8911201,15.5681215,
8270,Krško,45.957349718,15.488893045,
9263,Kuzma,46.837087416,16.088772431,
2318,Laporje,46.3475694,15.5932758,
3270,Laško,46.154736494,15.211019558,
1219,Laze v Tuhinju,46.218266,14.7592128,
2230,Lenart v Slovenskih goricah,46.576982367,15.83013091,
9220,Lendava/Lendva,46.5639639,16.4526468,
4248,Lesce,46.3618008,14.1544381,
3261,Lesično,46.1009943,15.5142017,
8273,Leskovec pri Kr�kem,45.939798,15.4769347,
2372,Libeliče,46.620139,14.9475881,
2341,Limbuš,46.5543241,15.5824567,
1270,Litija,46.068441688,14.828960898,
3202,Ljubečna,46.258034659,15.321334469,
1000,Ljubljana,46.057428446,14.50869704,
1001,Ljubljana - poštni predali,46.08415222,14.482074297,
1231,Ljubljana - Črnuče,46.101492618,14.541225237,
1261,Ljubljana - Dobrunje,46.031256349,14.607714124,
1260,Ljubljana - Polje,46.05649291,14.590573075,
1002,Ljubljana - poštni center,46.0500268,14.5069289,
1210,Ljubljana - Šentvid,46.099741541,14.458406647,
1211,Ljubljana - Šmartno,46.126044953,14.485940189,
3333,Ljubno ob Savinji,46.338652719,14.84050444,
9240,Ljutomer,46.517584652,16.197148781,
3215,Loče,46.3015917,15.4967091,
5231,Log pod Mangartom,46.3120655,13.6553026,
1358,Log pri Brezovici,45.99966265388349,14.358573456553396,
1370,Logatec,45.909502065,14.222560751,
1434,Loka pri Zidanem Mostu,46.0535988,15.2054717,
3223,Loka pri Žusmu,46.1473906,15.4931222,
6219,Lokev,45.6608718,13.9289573,
1318,Loški Potok,45.700665185496185,14.591404253435114,
2324,Lovrenc na Dravskem polju,46.3739483,15.7806697,
2344,Lovrenc na Pohorju,46.542205524375,15.389332269999999,
3334,Luče,46.346098078055554,14.734890122777777,
1225,Lukovica,46.172836896,14.697007274,
9202,Mačkovci,46.7842063,16.1631499,
2322,Majšperk,46.33970044861538,15.734379548923078,
2321,Makole,46.321148115151516,15.676134466666666,
9243,Mala Nedelja,46.524046,16.056195,
2229,Malečnik,46.5557564,15.6981626,
6273,Marezige,45.5071047,13.7997629,
2000,Maribor,46.545506781,15.649997822,
2001,Maribor - poštni predali,46.5275245,15.65426235,
2206,Marjeta na Dravskem polju,46.4537503,15.7334922,
2281,Markovci,46.394556686,15.951353062,
9221,Martjanci,46.684924,16.1896103,
6242,Materija,45.5805156,13.996426,
4211,Mavčiče,46.1862291,14.4049564,
1215,Medvode,46.133716988,14.398475118,
1234,Mengeš,46.161756769,14.568611119,
8330,Metlika,45.657325115,15.325955169,
2392,Mežica,46.519768982,14.851430687,
2204,Miklavž na Dravskem polju,46.49599031367781,15.698203637892604,
2275,Miklavž pri Ormožu,46.4580949,16.2148881,
5291,Miren,45.894339,13.6089235,
8233,Mirna,45.959408317,15.053942207,
8216,Mirna Peč,45.84939324109589,15.088580991324202,
2382,Mislinja,46.445654915,15.183541187,
4281,Mojstrana,46.4609536,13.9394245,
8230,Mokronog,45.9426493,15.1446786,
1251,Moravče,46.136290164,14.741868375,
9226,Moravske Toplice,46.68834355550965,16.230486587603306,
5216,Most na Soči,46.1462623,13.7603664,
1221,Motnik,46.2155584,14.88587,
3330,Mozirje,46.340252932,14.961750609,
9000,Murska Sobota,46.65416924348065,16.156230032459195,
9001,Murska Sobota - poštni predali,46.5990661,16.168285,
2366,Muta,46.611437019,15.15647872,
4202,Naklo,46.279758728,14.307960621,
3331,Nazarje,46.310711163,14.94362884,
1357,Notranje Gorice,45.9870208,14.3993537,
3203,Nova Cerkev,46.320820497,15.272956824,
5000,Nova Gorica,45.954628692,13.656367445,
5001,Nova Gorica - poštni predali,45.9563378,13.6274133,
1385,Nova vas,45.788144025,14.515854557,
8000,Novo mesto,45.798110786,15.171721092,
8001,Novo mesto - poštni predali,45.9821937,15.357217,
6243,Obrov,45.5438003,14.0854916,
9233,Odranci,46.585576639,16.275748966,
2317,Oplotnica,46.389784747,15.448505651,
2312,Orehova vas,46.4712106,15.6668287,
2270,Ormož,46.409261714,16.168200552,
1316,Ortnek,45.791266,14.6786879,
1337,Osilnica,45.536284259,14.730746769,
8222,Otočec,45.833487,15.221633,
2361,Ožbalt,46.5841064,15.390105,
2231,Pernica,46.5780413,15.7265468,
2211,Pesnica pri Mariboru,46.607881748,15.665419213,
9203,Petrovci,46.827741998,16.196515835,
3301,Petrovče,46.2453212,15.188509,
6330,Piran/Pirano,45.526788962,13.569671194,
8255,Pišece,46.0041001,15.6481652,
6257,Pivka,45.668768945,14.222306288,
6232,Planina,45.7811248,14.0932908,
3225,Planina pri Sevnici,46.1031937,15.399848,
6276,Pobegi,45.5397971,13.7967369,
8312,Podbočje,45.8641442,15.4666945,
5243,Podbrdo,46.2138399,13.9728253,
3254,Podčetrtek,46.148489719,15.588073226,
2273,Podgorci,46.4264318,16.0584145,
6216,Podgorje,45.5297499,13.9514932,
2381,Podgorje pri Slovenj Gradcu,46.4715432,15.087508,
6244,Podgrad,45.5229423,14.1440856,
1414,Podkum,46.0696806,15.0344036,
2286,Podlehnik,46.312872473,15.859124602,
5272,Podnanos,45.7972852,13.9724055,
4244,Podnart,46.2970954,14.2545243,
3241,Podplat,46.2455466,15.5751142,
3257,Podsreda,46.0401771,15.5900549,
2363,Podvelka,46.596093547,15.319202207,
2208,Pohorje,46.5036351,15.5785367,
2257,Polenšak,46.4677057,16.0035561,
1355,Polhov Gradec,46.06802373020528,14.310000711241448,
4223,Poljane nad Škofjo Loko,46.13611104645584,14.177911836205018,
2319,Poljčane,46.310949776,15.58675149,
1272,Polšnik,46.0694549,14.9603294,
3313,Polzela,46.280040806,15.088966756,
3232,Ponikva,46.2541762,15.4446036,
6320,Portorož/Portorose,45.5146489,13.5910112,
6230,Postojna,45.7739368,14.2118609,
2331,Pragersko,46.3954924,15.6590196,
3312,Prebold,46.242193018,15.094405617,
4205,Preddvor,46.304625425,14.418709863,
6255,Prem,45.6047043,14.1831909,
1352,Preserje,45.9560632,14.4176559,
6258,Prestranek,45.729833305,14.185427706,
2391,Prevalje,46.549161071,14.908722536,
3262,Prevorje,46.1286583,15.4730393,
1276,Primskovo,45.9722137,14.9112349,
3253,Pristava pri Mestinju,46.1964686,15.5962639,
9207,Prosenjakovci/Partosfalva,46.7396897,16.3107307,
5297,Prvačina,45.8897963,13.71679,
2250,Ptuj,46.427186503,15.88295702,
2323,Ptujska Gora,46.3541382,15.7605904,
9201,Puconci,46.717352405,16.148939883,
2327,Rače,46.4533193,15.679145,
1433,Radeče,46.060552899,15.156163477,
9252,Radenci,46.629460589,16.039301515,
2360,Radlje ob Dravi,46.6142052,15.206328,
1235,Radomlje,46.1731863,14.6101795,
4240,Radovljica,46.343559294,14.17977235,
8274,Raka,45.9297313,15.3810308,
1381,Rakek,45.8130947,14.3192052,
4283,Rateče - Planica,46.4976545,13.7157915,
2390,Ravne na Koroškem,46.54222276441006,14.957652549903289,
9246,Razkrižje,46.517203334,16.276738222,
3332,Rečica ob Savinji,46.31413765,14.917121401603499,
5292,Renče,45.8900122,13.6695716,
1310,Ribnica,45.748266517,14.711790455,
2364,Ribnica na Pohorju,46.536401068400004,15.276418253200001,
3272,Rimske Toplice,46.1234082,15.1959474,
1314,Rob,45.8481465,14.5717681,
5215,Ročinj,46.1086813,13.6722428,
3250,Rogaška Slatina,46.236047648964224,15.631709844632768,
9262,Rogašovci,46.801722641,16.029567016,
3252,Rogatec,46.226923229,15.704932107,
1373,Rovte,45.9854105,14.1782288,
2342,Ruše,46.540767904,15.511299449,
1282,Sava,46.0886133,14.8918977,
6333,Sečovlje/Sicciole,45.4764156,13.6289547,
4227,Selca,46.2241755,14.2035074,
2352,Selnica ob Dravi,46.555384385,15.496737209,
8333,Semič,45.653674248160534,15.16701044347826,
8281,Senovo,46.0197892,15.4760945,
6224,Senožeče,45.7208206,14.0393917,
8290,Sevnica,46.016675534,15.304153,
6210,Sežana,45.726266405,13.889137945,
