objectId,latitude,longitude,postalCode,place
1Nx4ru8EPF,46.1672,15.3944,3233,Kalobje
Y2nLKMoxfa,46.2272,15.5192,3240,Šmarje pri Jelšah
EjmIzVEvQL,46.2461,15.5764,3241,Podplat
PIQ5EpEjJD,46.2375,15.6397,3250,Rogaška Slatina
S0S5kwwwq0,46.2294,15.7003,3252,Rogatec
rHUyQ1jt3V,46.1967,15.5961,3253,Pristava pri Mestinju
HKrdtJW8gH,46.1569,15.5986,3254,Podèetrtek
7vBgdLYDbI,46.1079,15.5701,3255,Buèe
ZmYMcFeGNY,46.0589,15.6642,3256,Bistrica ob Sotli
3wT5OtK1Rp,46.0414,15.5906,3257,Podsreda
XwGiiRG2aN,46.075,15.5603,3260,Kozje
t0v3HtqGqA,46.1025,15.5142,3261,Lesièno
2iuJgeLy28,46.1255,15.4774,3262,Prevorje
l9zm1gVhHg,46.1872,15.4325,3263,Gorica pri Slivnici
EPE5fIsvgB,46.1862,15.4933,3264,Sveti Štefan
SJ9E75bYXH,46.1546,15.2355,3270,Laško
hes2Xyh6YQ,46.1714,15.3494,3271,Šentrupert
uHpKbpx0UG,46.1226,15.1919,3272,Rimske Toplice
bkQSYs879Q,46.0917,15.3367,3273,Jurklošter
2DyEBmyJIw,46.2417,15.19,3301,Petrovèe
M90Jcm7lPo,46.2294,15.1506,3302,Griže
EVlIm3DImt,46.2528,15.0422,3303,Gomilsko
ba9msN57x4,46.2361,15.0183,3304,Tabor
9qGCFJJrGX,46.2439,14.9514,3305,Vransko
fPFKTVRbnq,46.2515,15.1648,3310,Žalec
F0ykGZawI3,46.2654,15.0907,3311,Šempeter v Savinjski dolini
4iuDFdUjAF,46.2369,15.0925,3312,Prebold
m61iMPXaFc,46.2833,15.0667,3313,Polzela
31lOn7Z6k3,46.2897,15.0389,3314,Braslovèe
yfRJMF27zP,46.3712,15.0345,3320,Velenje - dostava
Hk6elU5hCa,46.3712,15.0345,3322,Velenje - poštni predali
wHfHrsPRRD,46.38,15.0486,3325,Šoštanj
XcRNl2gg5H,46.4003,15.0216,3326,Topolšica
h86z8IqkTV,46.3333,15.0333,3327,Šmartno ob Paki
UNea6ILY2M,46.3394,14.9633,3330,Mozirje
